a|to, towards, at
pasyon; —a; —i|passion <i>n</i>; —ate; to impassion
pasyonifa|thrilling, exciting
pat|<i>v</i> partciple of pi, to be able
paten; —er; —i|skate; —er; to —
patent; —i|patent, to —
Pater|Lord's Prayer
pati|to take pity, to commiserate
pato|compassion
patren|godfather
patrimon; —a|patrimony; —onial
patrio; —ia|country, fatherland; — <i>a</i>
patro; —a|father; paternal
patrocid; —er; —idi|parricide (action; person); to commit —
patron; —a|boss, master; —ly <i>a</i>
patrulyo; —yi|patrol; to —
pauzo; —i|pause; to —
pav; —a|fear; afraid
pavadi|to frighten
paved(o); —i|paving, pavement; to pave
pavema|timorous, fearful
pavi|to be afraid
pax; —a|peace; pacific, peaceful
paxaro|cemetery
paxismo; —ist; —ista|pacifism; —ist <i>n</i>; <i>a</i>
pd(pund)|pound
pe|by, through
pec|pitch, tar; pec! dash it!
ped; —ado; —adi|foot; kick; to —
pedagog; —a; —io|pedagogue; —gogical; —gogy
pedal; —i|pedal; to —
pedant; —a; —i|pedant; —ic; to show-pedantry
pedantismo, pedanteso|pedantry
pedapaso|pedestrian passage
pede|on foot <i>adv</i>., afoot
pedestal|pedestal
pedi|to walk, to go on foot
pedil|footboard
pediraro|footpath, (US) sidewalk
pedirer|pedestrian <i>n</i>
pedkurer|chiropodist
pedyatrio; —ist; —yatro|pediatrics; —ician, —trist
peforte|perforce: by force
pego; —i|pledge, pawn; to —
pek; —i; —er|sin; to —; sinner
pekto; —a|breast, chest; —'s, pectoral
pekun; —a|money; pecuniary, money's
pel|by the, through the
peli; —o; —azo|to drive out, to expel; expulsion
pelsen|fur-lined coat, pelisse
pelso; —er|fur; furrier
pen; —i|pain; to —, to afflict
penal; —a|penal code; penal
penalado; —i|penalty; to penalize
penco; —os|penny; pence
pendel|pendant <i>n</i>
pendi; —il|to hang; hat-peg, hook, coat-hanger
pendo|hanging <i>n</i>
pendon; —i|scaffold, gibbet, gallows; to hang (torture)
pendul; —yo|pendulum; clock, small clock
penetri; —o; —azo|to penetrate; —ation
penish|barge, canal-boat
penko; —i|pick; to dig up
penombro; —e|penumbra, half-light; in the —
pensema|thoughtful, pensive
penso; —i|thought; to think
pensyon; —aryo|board, —ing-house; pension, full-board; boarder, inmate; pensioner
pensyonado; —naro|pensioner's condition; boarding-school
pensyoner|pensioner
penta|repentant
pentadaro|penitentiary
pental|penitence
pentel; —a|contrition, contrite
pento; —i|repentance; to repent
pentola|sorry, repentant
penuryo|shortage, penury
penyo; —yi|comb; to —
pep; —at; —i|pepper; —y; to —
per|because
perat|perished
percep; —i|perception; to percieve
percev; —i|collecting <i>n</i> ; to collect
perdo; —i; —at|loss; to lose; lost
perel; —azo; pereli|declining, wasting away; to decline, to waste away
perfa; —azo|perfect; perfecting <i>n</i>
perfi; —o|to perfect, to bring to perfection; perfection
perfida; —eso|perfidious; —idy, —ousness
perfismo; —ist; —ista|perfectionism; —ist <i>n</i>; <i>a</i>
performo; —i|performance; to perform
pergamen; —a; —i|parchment <i>n</i>; <i>a</i>; to give a — finish; to shrivel up
pergol|pergola, arbour
peri; —ibla|to perish; —able
peril; —a|peril; —ous
perim; —i; —at|lapse <i>n</i>; to —; —ed
period; —a|period; —ic(al)
periodik|periodical publication
peripatin|peripatetician
periplo|periplus
periton; —it|<i>(anat.)</i> peritoneum; —onitis
perjo; —ol|partridge; young —
perjok|<i>(med.)</i> corn
perkal|cambric muslin, percale
perkizo|house search
perklusa|stiff, crippled, stiff-jointed
perkurso; —i|route, way; to go (a l so: to look through)
perkut; —a; —ifa; —i|percussion; —ive; to percuss, to strike, to blow, to tap
perlo|pearl
permado; —a; —i|<i>(mil.)</i> leave; on — <i>a</i>; to be on —
permana; —eso; —aro|permanent; —ence; all-day, all-night service
permanel|permanent wave
permi; —o|to permit, to allow; permission
permisi|to allow oneself
permut; —i|exchange, permutation, to exchange
perno; —a; —i|pivot <i>n</i>; <i>a</i>; to —
pero|perdition
perok; —i|parrot; to recite, to repeat like a —
peron|(station's) platform
peroneo|<i>(anat.)</i> fibula
peroro; —i|peroration; to —ate
perpa; —e; —o|perpetual; —lly; —uity
persa|Persian, persic
persek; —i|persecution, to —ute
persev; —i|perseverance; to —vere
persho|pole; jumping-pole; trolley-pole
persil|parsley
person; —a|person; —al
personajo; —onon|personage; bigwig, big bug, (US) big wheel
personeyo|staff, employees, personnel
perspektiv|perspective, prospect
perspik; —a|perspicacity; —cacious
perspika; —eso|perspicacious; —cacity
persuadi; —o|to persuade; —uasion
perten; —i|appurtenance, belonging; to belong; —os belongings
perturbi; —o|to perturb; —ation
peruk|wig
perverti; —o|to pervert; —version
pes (o)|piece
pes|since, as, considering that
pesh|fish; — er; —erin fish-seller <i>m</i>, <i>f</i>; — io fish shop
pesi|to tear, to — to pieces
pesk-vermo|angle-worm
pesker|fisher
peski; —o|to fish; —ing <i>n</i>
peskior|(ship) trawler, fishing-boat
peskolin fi|shing rod
peskopermo|fishing licence
pespese|bit by bit
pest; —a|plague, pestilence; pestilential, plague-stricken
petal|petal
petisyon; —i|petition; to —
petrema; —o|stony, hard-hearted, —ness
petro; —a; —i|stone <i>n</i>; a — y; to petrify
petrol; —a; —ior|petrol, paraffin oil, petroleum oil, (US) kerosene; — <i>a</i>; tanker
petula; —eso|lively; —iness
pex; —a|breast, chest, bosom; — <i>a</i>, pectoral
pezo; —i; —a; —il|weight; to weigh; heavy; scales
pi|to be able
pia; pieso|pious; piety
pic; —eyer|peach; — tree
pigment|pigment
pigmeo; —ea|pygmy; —ean
pigo|magpie
pigro; —i; —a|laziness; to laze, to idle; lazy
pijam|pyjamas, pajamas
pijin; —a; —e|pidgin <i>n</i>; <i>a</i>; in —
pijon|pigeon
pik|(weapon) pike, spear; (cards) spade
pikel|(game) piquet
pikles|pickles
piknik; —i|picnic; to —
pikpok; —er|pocket-picking; pickpocket
pikup|pick-up
pil; —a; —oza|hair, pile, nap, bristle; hairy; shaggy
pilaf|pilaw, pilaff
pilastro|pilaster
pildo; —face; —i|(of money, medal) reverse, tails; heads or tails; to toss up
pilgo; —er|pilgrimage; pilgrim
pilko|pile, heap
pilon|pylon, pillar
pilor; —a|<i>(anat.)</i> pylorus
pilot; —i|pilot; to —
pilso; —i|pile-driver, rammer; to ram
pilul|pill
pilyo|<i>(electr.)</i> battery; (US) flashlight battery
piment; —i; —a; —at|pimento; to pepper, to season with red pepper; hot, sharp, peppery
pimpa|spruce, natty
pincel|finch, chaffinch
pinci|to force-feed, to gorge, to stuff
pingo|<i>(arch.)</i> gable
pingpong|ping-pong
pinguen|auk <i>(zool.)</i>
pinso; —il; —i|nipping <i>n</i>; pliers, nippers, clip; to nip
pinter, pintor|painter
pinti|to paint
pinto; —io|painting <i>n</i>
pintur; —i|paint, paint work; to coat with paint
pinturer|house-painter, paint-worker
pinup|pin-up
pinyel|fir-cone, pine-cone
pinyo|pine-tree
pion|(game) man, pawn; (school's) junior master, under-master, (US) proctor
pioner|pioneer
pip|pipe
piramid; —a|pyramid; —al
pirat; —i; —ado; —io|pirate; to —; piracy
pirex; —a|pyrex <i>n</i>; <i>a</i>
pirit|pyrites
pirogo|canoe, piragua, pirogue
piroskaf|steamboat, steamer
pirso; —eyer|pear; —tree
pish; —i|pissing <i>n</i>; to piss, to make water
pist|track, ring; trail
pistasb|pistachio-nut
pistil (yo)|<i>(bot.)</i> pistil
pistol; —a; —ado|(weapon) pistol <i>n</i>; <i>a</i>; — shoot
piston; —i|piston; to push, to back
pistrel|<i>(zool.)</i> bat
pit(o); —i|pity; to take —
pitenda; pitibla|piteous; pitiable
pitro|buffoon, clown; — a histrionic, clownish
piza; —i|worse; to —en
pize|worst <i>adv</i>.
pizel|<i>(bot.)</i> pea
pizelel|small pea, green —
PK (Pre Krist)|B. C. (before Christ)
plad(o); —i|pleading <i>n</i>; to plead, to advocate
plafon|ceiling
plagi; —o; —er|to plagiarize; —iarism; —ist
plaja; —en|sea-shore <i>a</i>; — dress
plajo|sea-shore, beach
plak|plank, plate, slat, tablet, sheet, plaque
plakta; —i|plated; to plate; veneered; to veneer
plan|plan, project; level, plane
plana|even, flat, level <i>a</i>
planal|<i>(geog.)</i> plain, flat country
plancil|<i>(techn.)</i> planisher
planet; —a|planet; —ary
planing|planning
plankal; —i|stage, —ing, scaffolding, heap; to scaffold, to pile up, to erect
planken|shelf
planko|plank, board, plate, batten
planpeda; —e|on the same level, on the same floor <i>a</i>, <i>adv</i>.
planralbo|corn-crake, water-rail
planso; —i; —il|<i>(aviat.)</i> gliding, to glide; glider
plant; —aro; —azo; —i|plant; plantation; planting <i>n</i>; to plant
plantol|seedling
plaqi; —ifa; —o|to appease; —ing; —ement; to quieten; —ing, soothing <i>a</i>; <i>n</i>
plar|<i>v</i> present of pli, to please
plas|place; seat
plaska|flat
plasmo; —a|plasma, plasmic
plast-artos|plastic arts
plastik; —a|plastic <i>n</i>, <i>a</i>
plastro|plaster
plat|dish, course (also: participle of pli to please)
platan|plane-tree
platel|plate <i>n</i>
platen; —i|crockery, table-service, table-ware; to wash up
platformo|platform
platin|platinum
plato|dish
plaudi; —o|to applaud; applause
plaza; —i|pleasant, agreeable; to please
plazo|pleasure
pleb; —a|pleb, —eian
plebisit; —a|plebiscite; —tary
pled|plaid, travelling-rug
plek; —i|explanation; to explain
plen-nam|full name
plen; —a|full <i>n</i>; <i>a</i>
plendo; —i|complaint; charge; to lay a charge (against)
plene|fully
plengade|light-heartedly, gladly
pleni|to fill
plenide|in the middle of day, in broad daylight
plenkone|with full knowledge of the facts
plenlume|in full light
plenmede|in the very middle
plennoxe|in the middle of night
plenoco; —a|chubbiness; chubby
plenposo; —a|full powers; plenipotentiary
plenreke|by right, as of right
plentcmpo; —a; —e|full-time <i>n</i>; <i>a</i>; <i>adv</i>.
plenvite|in full speed <i>adv</i>
plenyeme|in the middle of winter, at the height of —
plenzome|in the middle of summer, at the height of —
pleuroso|<i>(med.)</i> pleurisy
plexiglas|plexiglass
plezanti; —o; —e|to jest, to joke; joke, —ing, jest; as a joke
pli|to please; pli! please!
plik(o); —i; —azo|fold; to —; —ing <i>n</i>
pliken|cover, envelop
plinto|<i>(arch.)</i> plinth, base-board, skirting-board
plis(o); —i; —azo|pleat; to —; —ing <i>n</i>
plomb(o)|lead (metal)
plombel|lead soldier, tin soldier
plombist|plumber
plor|weeping; (also future of pli, to please)
plori; —er|to weep; —er
ploron; —i; —er|whining; to whine; —er
plot; —i|feat, prowess, exploit; to make a —
plu; —a|more <i>adv</i>.; <i>a</i>, added
pluadi; —o|to increase; — <i>n</i>
pluazo|increment, augmentation
plude|more, more and more
plue|in addition, besides
plugo|plough
plui|to increase
plul; —unos|several <i>a</i>; — ones
plulye|in several places
plulyes|several times, many a time
plum|feather; pen
plumine|more or less
plumpezo; —a|featherweight <i>n</i>, <i>a</i>
pluplue|more and more
plur|<i>v</i>. conditional of pli, to please
plural; —a|plural <i>n</i>, <i>a</i>
plus (a)|most <i>a</i>
pluse|mostly, for the most part
pluso|most things, most of it
plusunos|most people
plusye|in most places
plusyes|most of the time, most times
pluv; —i|rain; to —
pluvil|umbrella
pluvon|shower, downpour
pluye|rather
pneumo|pneumothorax
po|for
poem|poem
poet|poet
poezio; —eza|poetry; poetic(al)
pogo; —i|support, bearing; to support; to lean
pok(a)|a little, few <i>a</i>
poko|little <i>n</i>, <i>pronoun</i>, a little quantity
pokpoke|little by little
pokunos|few people
pokye|in few places
pokyes|a few times
pol|for the
Pol|Paul
pol; —a; —astel|<i>(geog.)</i> pole; —ar; Pole-star, lodestar
polado; —adi|polarization; to —ize
poldo; —i|polish, —ing, shine, —ing <i>n</i>; to polish
polemik; —i|polemics; to —mize
polen|<i>(bot.)</i> pollen
poliedro|polyhedron
poliglot(a)|polyglot <i>n</i>, <i>a</i>
poliklinik|polyclinic, general hospital
polip|<i>(zool.)</i> polyp; <i>(med.)</i> polypus
polis; —a; —aro; —er|police <i>n</i>; <i>a</i>; — station; —man
polisyo|policy; sekur — insurance policy
politik; —a|politics; —ic(al)
Polno; —a; —al|Poland; Polish; — <i>(lang.)</i>
polsen|link, cuff-button
polso|wrist
polto|armchair
polvo; —a|dust; —y; mordi — o to kiss the dust
polyo; —myelit|polio; —myelitis
pom; —yer|apple; —tree
pomkompot|apple-sauce
pompal; —a|display, array; pompous
pomper|fireman
pompist|<i>(mot.)</i> pump assistant
pompo|pump
pon; —azo; —i|putting, placing, laying; to put, to place
ponadi; —o; —aro|to warehouse; —ing <i>n</i>; —<i>n</i>
pondi; —o|to lay (an egg); laying <i>n</i>
ponso|pumice-stone
pont; —er|bridge; pontonier
pontif; —a; —i|pontiff; —iflcal; to —flcate
ponton|pontoon
pool|pool
pool|pool
popleyo|population
poplo; —a; —emo; —ema|people; popular; —arity; —ular
por|<i>v</i> future of pi, to be able
porcelan|porcelain, china
pord; —o|door
pordexi|to reject, to expulse (a visitor)
pordigi|to go to the door
pordon|gate
porgo; —i|offer; to offer, to give
pork; —in; —ol|pig, pork; sow; piglet;
porkaco|dirty pig
porkolot|suckling-pig
porlo|<i>(bot.)</i> leek
porsh(o)|porch, portal
porso|portion
port(o)|carrying <i>n</i>, carriage, postage
porti|to carry, to bear
portret; —i|portrait; to draw a —
poryo|<i>(anat.)</i> pore
posa|powerful
posed(o); —i|possession; to possess
posh; —i|pocket; to —
posi|to be able
positiva; —e|positive; —ly
poso|power
pospon; —i|postponement; to postpone
post; —a; —er|post; —al; —man
post(o)bux|letter-box
post(o)ferma|Poste restante, to be called for (post), (US) general delivery
post(o)giro|postal transfer
post(o)pak|parcel post
post(o)valto|postal money-order
postel|set, device, instrument
poster|postman
posti|to mail, to post
postkont|postal account
postkontor|post-office
pot|pot
potaso|potash
pov; —a; —o; —eso|poor; poverty
pozisyon|position
pozo; —i|placing, laying <i>m</i>; to place, to lay
pradel|platform, stand
pragma; —ismo; —ist; —a|pragmatic (al); —tism; —tist
pralin|praline
pranso; —aro|dinner; dining-room
pratik; —a; —i|practice; —cal; to —tise
prato|meadow
pre|before (time)
prea|former, prior, previous
preala; —e|previous; —ly
preaverti|to announce, to warn
precipis|precipice
precipit; —i|precipitation, to —itate
precisa; —eso|precise; —ision
predanki|to thank beforehand
predato; —i|antedate, to —
predestin; —i; —at|predestination; to —ine; —ined
predici; —o|to predict; —iction
prediluva|antediluvian
predispon; —i; —a|predisposition; to predispose; —osed
pree|previously, before
preeso|anteriority
prefabrikat|prefabricated
prefaco|preface, foreword
prefekt(o); —ado|prefect; —ure
preferi; —o|to prefer; —ence
prefix|prefix
pregi; —o|to pray; prayer; to beg, to ask
pregna; —at; —i; —o|impregnated; to —gnate; —ation
prei|to precede
preid; —e|the day before <i>n</i>; <i>adv</i>.; eve
preistor; —a|prehistory; —ic
prejugel; —i|preconceived notion. opinion; to have —    s
prejugi|to prejudge
prejugun|old offender, old lag
prejugun|recidivist
prekauto; —i|precaution; to take —s
prekoca; —eso|precocious; —ness
prekonizi; —o|to advocate, to (re)commend, to preconize; recommendation, preconization
prekonklud|foregone conclusion
prekono|prescience, foreknowledge
prekont|previous account; previous deduction
prekontado; —i|previous estimate <i>n</i>, tender; to tender
prekurser|precursor
prekursi|to forerun
prel|before the (time)
prelasta|last but one
prelat|prelate
prelib; —a; —i|predilection; —ted; to have a predilection for
prem|premium
premedit; —i|premeditation, to —tate
premensel|hors-d'oeuvre
premid; —a|morning; —'s, antemeridian
premyo; —yi|prize, reward; to allow a —
premyon|premium, key money, big tip
pren|catching, capture
pren(o); —i|taking <i>n</i>, capture; to take
prenam|Christian name, first name
prenasa|antenatal
prenasa|antenatal
prendo; —i|seizure; to seize
prenel|<i>(electr.)</i> socket
preni|to take
prenil|handle
prenso; —a|pregnancy; pregnant
prenupsa|antenuptial
prenupsa|antenuptial
preokup; —i|preoccupation; to —py
preparga|preventive
prepargo; —i|prevention; to ward off, to avert
prepari; —o|to prepare; —ation
preplan|layout
preposo; —a|arrogance; —ant
prepozo|preposition
preprelasta|last but two, antepenultimate
preprizo|imprisonment awaiting trial
prerogo; —ativ|prerogative
pres-kampado|press-campain
pres; —i|pressure (also: press); to press
presbita; —eso|<i>(med.)</i> long-sighted; —ness
presegnal|premonition
presegno; —i|omen; to betoken
present (o); —i|presentiment; to have a —
preservi; —o|to protect; —ion; to preserve; —ing <i>n</i>, — ation
president; —enso|president; —ence
presidyo|presidium
presil|press; printing press
presko; —i; —er|sermon; to preach; —er
prespici|to underestimate
